zip5,lat,lon,state
28515,35.191601,-76.689195,NC
28516,34.85641,-76.619618,NC
28518,34.894823,-77.747493,NC
28519,35.127835,-77.012553,NC
28520,34.99595,-76.466803,NC
28521,34.817902,-77.736618,NC
28523,35.208786,-77.299531,NC
28524,34.79445,-76.463848,NC
28525,35.132291,-77.686672,NC
28526,35.244705,-77.408429,NC
28527,35.258207,-77.017502,NC
28528,34.73211,-76.538617,NC
28529,35.103344,-76.878629,NC
28530,35.373976,-77.415522,NC
28531,34.698038,-76.555547,NC
28532,34.905022,-76.886672,NC
28533,34.901925,-76.900858,NC
28537,35.256616,-76.55864,NC
28538,35.416645,-77.565077,NC
28539,34.694212,-77.232818,NC
28540,34.744324,-77.499048,NC
28542,34.729932,-77.461943,NC
28543,34.734804,-77.39805,NC
28544,34.696042,-77.290709,NC
28546,34.827304,-77.391062,NC
28547,34.631368,-77.32856,NC
28551,35.321323,-77.780856,NC
28552,35.2982,-76.555928,NC
28553,34.739158,-76.510068,NC
28554,35.475702,-77.592596,NC
28555,34.867968,-77.248397,NC
28556,35.132807,-76.637805,NC
28557,34.737849,-76.750308,NC
28560,35.126695,-76.977628,NC
28562,35.080979,-77.125033,NC
28570,34.776989,-76.880505,NC
28571,35.046007,-76.703845,NC
28572,35.019918,-77.723833,NC
28573,34.979917,-77.197521,NC
28574,34.878886,-77.589666,NC
28575,34.688187,-76.880939,NC
28577,34.906777,-76.404402,NC
28578,35.196952,-77.856972,NC
28579,34.812858,-76.505058,NC
28580,35.453274,-77.679538,NC
28581,34.844258,-76.435553,NC
28582,34.748284,-77.150455,NC
28584,34.72401,-77.100543,NC
28585,35.049763,-77.41758,NC
28586,35.32415,-77.177411,NC
28587,35.186789,-76.666791,NC
28589,34.796151,-76.494019,NC
28590,35.520683,-77.416661,NC
28594,34.701105,-76.973912,NC
28601,35.772393,-81.326659,NC
28602,35.673522,-81.382627,NC
28604,36.177556,-81.858051,NC
28605,36.12962,-81.694915,NC
28606,36.051784,-81.306878,NC
28607,36.214937,-81.64675,NC
28609,35.678451,-81.057418,NC
28610,35.729217,-81.145335,NC
28611,36.00604,-81.736971,NC
28612,35.650391,-81.53756,NC
28613,35.737648,-81.207675,NC
28615,36.474894,-81.670259,NC
28616,36.021459,-81.930176,NC
28617,36.480702,-81.361979,NC
28618,36.213548,-81.516925,NC
28619,35.760135,-81.606807,NC
28621,36.275593,-80.785654,NC
28622,36.19496,-81.948911,NC
28623,36.529076,-80.973414,NC
28624,36.119696,-81.413245,NC
28625,35.869581,-80.889653,NC
28626,36.292577,-81.517632,NC
28627,36.453586,-81.014299,NC
28628,35.729174,-81.778268,NC
28629,36.347483,-81.359161,NC
28630,35.831975,-81.42017,NC
28631,36.547476,-81.410356,NC
28634,35.972783,-80.757232,NC
28635,36.332961,-81.126011,NC
28636,35.939426,-81.063433,NC
28637,35.717672,-81.419384,NC
28638,35.845093,-81.477938,NC
28640,36.404873,-81.399397,NC
28641,35.97546,-81.894868,NC
28642,36.225065,-80.815479,NC
28643,36.529059,-81.540879,NC
28644,36.426159,-81.277823,NC
28645,35.97883,-81.547779,NC
28646,36.073108,-81.846965,NC
28649,36.335979,-81.212043,NC
28650,35.571426,-81.15839,NC
28651,36.306214,-81.308783,NC
28652,36.089687,-81.986535,NC
28653,36.066028,-81.901025,NC
28654,36.058516,-81.159305,NC
28655,35.763266,-81.749862,NC
28657,36.021993,-81.942425,NC
28658,35.637616,-81.235853,NC
28659,36.215959,-81.148169,NC
28660,35.968615,-80.856248,NC
28662,36.02249,-81.891707,NC
28663,36.537202,-81.289931,NC
28664,36.04244,-82.005917,NC
28665,36.209682,-81.373878,NC
28666,35.718637,-81.470616,NC
28667,35.774539,-81.425089,NC
28668,36.424156,-80.97524,NC
28669,36.223445,-80.989818,NC
28670,36.194308,-80.912494,NC
28671,35.750203,-81.526631,NC
28672,36.483327,-81.32672,NC
28673,35.617717,-80.998758,NC
28675,36.506342,-81.136105,NC
28676,36.33186,-80.85534,NC
28677,35.738099,-80.926089,NC
28678,35.832604,-81.071143,NC
28679,36.260195,-81.840258,NC
28681,35.922678,-81.223058,NC
28682,35.588254,-80.965153,NC
28683,36.390439,-80.911007,NC
28684,36.33446,-81.606769,NC
28685,36.347273,-81.040959,NC
28689,36.043125,-80.933205,NC
28690,35.732735,-81.57423,NC
